region,microplastic_mean,microplastic_max,microplastic_sample_count,river_plastic_kg_total,port_count,port_pressure_score,coastal_pop_10km,gdp_mean,ph_mean,ph_min,dissolved_oxygen_mean,dissolved_oxygen_min,sst_mean,sst_max,sst_thermal_stress,wastewater_total,wastewater_countries,mismanagement_rate_mean,oil_spill_pressure,ohi_clean_water,ohi_biodiversity,score_microplastic,score_river,score_port,score_population,score_ph,score_oxygen,score_temperature,score_wastewater,score_mismanagement,score_oil,score_clean_water,score_biodiversity,pollution_index,pollution_grade,pollution_index_2030,pollution_index_2040,pollution_index_2050,pollution_index_2100,pollution_grade_2050,pollution_grade_2100,mp_growth_rate,pop_growth_rate,thermal_growth_rate,blended_growth_rate
Bering Sea,0.13,,,2000.0,0.0,0.0,500000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,69.25833333333334,72.62,3.959326931861854e-05,0.3448275862068966,0.0,0.2375820101001296,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,34.97256300024465,53.895169578622784,21.17,Low,22.79,27.4,32.95,82.79,Moderate,Critical,0.03,0.0028,0.0072,0.0186
Hudson Bay,0.22,,,3500.0,0.0,0.0,300000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,69.25833333333334,72.62,8.459328075165479e-05,0.603448275862069,0.0,0.1415892787465418,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,34.97256300024465,53.895169578622784,21.21,Low,22.87,27.6,33.32,85.39,Moderate,Critical,0.03,0.0028,0.009,0.019
Great Lakes,111000.0,,,8000.0,0.0,0.0,35000000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,69.25833333333334,72.62,55.49998869399749,1.3793103448275863,0.0,16.79632816859401,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,34.97256300024465,53.895169578622784,32.64,Moderate,35.14,42.25,50.8,127.65,High,Critical,0.03,0.0028,0.0068,0.0186
Caspian Sea,15.0,,,12000.0,0.0,0.0,3338333.8,18323.192076719573,8.05,,299.9221612903225,266.52,16.147305555555555,26.0,0.0,0.0,,26.685574,0.0,69.25833333333334,72.62,0.0074745951583102,2.0689655172413794,0.0,1.5998790798761684,78.194565,49.572104094091074,0.0,0.0,55.12768203360405,0.0,34.97256300024465,53.895169578622784,17.52,Low,18.93,22.96,27.85,73.15,Low,Critical,0.03,0.0079,0.0051,0.0195
Lake Victoria,50.0,,,4500.0,0.0,0.0,20000000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,69.25833333333334,72.62,0.024974599604491,0.7758620689655172,0.0,9.596873317074932,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,34.97256300024465,53.895169578622784,21.99,Low,23.87,29.3,35.96,100.16,Moderate,Critical,0.03,0.0134,0.0042,0.0207
Lake Tanganyika,8.0,,,1200.0,0.0,0.0,3000000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,69.25833333333334,72.62,0.0039745942690741,0.2068965517241379,0.0,1.437491152019976,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,34.97256300024465,53.895169578622784,21.25,Low,23.07,28.35,34.83,97.49,Moderate,Critical,0.03,0.0134,0.0045,0.0208
Lake Baikal,5.0,,,800.0,0.0,0.0,500000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,69.25833333333334,72.62,0.0024745938879729,0.1379310344827586,0.0,0.2375820101001296,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,34.97256300024465,53.895169578622784,21.14,Low,22.59,26.66,31.46,72.01,Moderate,Critical,0.03,-0.0046,0.0065,0.0167
Lake Superior,35000.0,,,3000.0,0.0,0.0,4000000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,69.25833333333334,72.62,17.499979039433562,0.5172413793103449,0.0,1.9174548087879149,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,34.97256300024465,53.895169578622784,24.48,Low,26.35,31.69,38.1,95.74,Moderate,Critical,0.03,0.0028,0.0072,0.0186
Lake Huron,111000.0,,,4500.0,0.0,0.0,6000000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,69.25833333333334,72.62,55.49998869399749,0.7758620689655172,0.0,2.877382122323792,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,34.97256300024465,53.895169578622784,31.44,Moderate,33.83,40.64,48.81,122.07,Moderate,Critical,0.03,0.0028,0.0067,0.0185
Aegean Sea,1.9,,,18000.0,0.0,0.0,15000000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,69.25833333333334,72.62,0.0009245934941683,3.103448275862069,0.0,7.197055033235239,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,34.97256300024465,53.895169578622784,22.15,Low,23.59,27.62,32.34,71.18,Moderate,Critical,0.03,-0.0059,0.0043,0.0159
Gulf of Thailand,1781.0,,,95000.0,0.0,0.0,40000000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,69.25833333333334,72.62,0.8904748194998878,16.379310344827587,0.0,19.196146452433705,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,34.97256300024465,53.895169578622784,25.26,Low,27.04,32.07,38.04,89.23,Moderate,Critical,0.03,-0.0003,0.0038,0.0172
Lake Michigan,58000.0,,,7000.0,0.0,0.0,12000000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,69.25833333333334,72.62,28.99998196120949,1.206896551724138,0.0,5.757164062931423,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,34.97256300024465,53.895169578622784,26.97,Low,29.02,34.86,41.87,104.71,Moderate,Critical,0.03,0.0028,0.0065,0.0185
Lake Erie,162000.0,,,6000.0,0.0,0.0,12000000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,69.25833333333334,72.62,80.99999517271803,1.0344827586206895,0.0,5.757164062931423,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,34.97256300024465,53.895169578622784,36.3,Moderate,39.05,46.86,56.23,139.92,High,Critical,0.03,0.0028,0.0061,0.0184
Lake Ontario,200000.0,,,9000.0,0.0,0.0,9000000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,69.25833333333334,72.62,100.0,1.5517241379310345,0.0,4.317273092627608,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,34.97256300024465,53.895169578622784,39.68,Moderate,42.7,51.29,61.61,154.06,High,Critical,0.03,0.0028,0.0064,0.0185
