m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
422,Water use,Wastewater,Produced municipal wastewater,Lebanon,2023,0.31,10^9 m3/year,I,false
434,Water use,Wastewater,Produced municipal wastewater,Libya,2021,0.504,10^9 m3/year,I,false
434,Water use,Wastewater,Produced municipal wastewater,Libya,2022,0.504,10^9 m3/year,I,false
434,Water use,Wastewater,Produced municipal wastewater,Libya,2023,0.504,10^9 m3/year,I,false
440,Water use,Wastewater,Produced municipal wastewater,Lithuania,2021,0.22392,10^9 m3/year,I,false
440,Water use,Wastewater,Produced municipal wastewater,Lithuania,2022,0.22392,10^9 m3/year,I,false
440,Water use,Wastewater,Produced municipal wastewater,Lithuania,2023,0.22392,10^9 m3/year,I,false
442,Water use,Wastewater,Produced municipal wastewater,Luxembourg,2021,0.0208,10^9 m3/year,I,false
442,Water use,Wastewater,Produced municipal wastewater,Luxembourg,2022,0.0208,10^9 m3/year,I,false
442,Water use,Wastewater,Produced municipal wastewater,Luxembourg,2023,0.0208,10^9 m3/year,I,false
450,Water use,Wastewater,Produced municipal wastewater,Madagascar,2021,0.1089,10^9 m3/year,A,false
450,Water use,Wastewater,Produced municipal wastewater,Madagascar,2022,0.11484,10^9 m3/year,A,false
450,Water use,Wastewater,Produced municipal wastewater,Madagascar,2023,0.1188,10^9 m3/year,A,false
458,Water use,Wastewater,Produced municipal wastewater,Malaysia,2021,2.222528837,10^9 m3/year,I,false
458,Water use,Wastewater,Produced municipal wastewater,Malaysia,2022,2.222528837,10^9 m3/year,I,false
458,Water use,Wastewater,Produced municipal wastewater,Malaysia,2023,2.222528837,10^9 m3/year,I,false
462,Water use,Wastewater,Produced municipal wastewater,Maldives,2021,0.0037,10^9 m3/year,I,false
462,Water use,Wastewater,Produced municipal wastewater,Maldives,2022,0.0037,10^9 m3/year,I,false
462,Water use,Wastewater,Produced municipal wastewater,Maldives,2023,0.0037,10^9 m3/year,I,false
466,Water use,Wastewater,Produced municipal wastewater,Mali,2021,0.0967,10^9 m3/year,I,false
466,Water use,Wastewater,Produced municipal wastewater,Mali,2022,0.0967,10^9 m3/year,I,false
466,Water use,Wastewater,Produced municipal wastewater,Mali,2023,0.0967,10^9 m3/year,I,false
470,Water use,Wastewater,Produced municipal wastewater,Malta,2021,0.026855724,10^9 m3/year,A,false
470,Water use,Wastewater,Produced municipal wastewater,Malta,2022,0.027726726,10^9 m3/year,A,false
470,Water use,Wastewater,Produced municipal wastewater,Malta,2023,0.028922422,10^9 m3/year,A,false
478,Water use,Wastewater,Produced municipal wastewater,Mauritania,2021,0.0214,10^9 m3/year,I,false
478,Water use,Wastewater,Produced municipal wastewater,Mauritania,2022,0.0214,10^9 m3/year,I,false
