m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
143,Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2021,85.0036,10^9 m3/year,E,true
143,Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2022,85.8616,10^9 m3/year,E,true
143,Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2023,85.6286,10^9 m3/year,E,true
62,Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2021,1103.851868194,10^9 m3/year,E,true
62,Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2022,1104.709868194,10^9 m3/year,E,true
62,Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2023,1104.476868194,10^9 m3/year,E,true
148,Water use,Water withdrawal by sector,Agricultural water withdrawal,Chad,2021,0.6722,10^9 m3/year,I,false
148,Water use,Water withdrawal by sector,Agricultural water withdrawal,Chad,2022,0.6722,10^9 m3/year,I,false
148,Water use,Water withdrawal by sector,Agricultural water withdrawal,Chad,2023,0.6722,10^9 m3/year,I,false
152,Water use,Water withdrawal by sector,Agricultural water withdrawal,Chile,2021,29.42,10^9 m3/year,I,false
152,Water use,Water withdrawal by sector,Agricultural water withdrawal,Chile,2022,29.42,10^9 m3/year,I,false
152,Water use,Water withdrawal by sector,Agricultural water withdrawal,Chile,2023,29.42,10^9 m3/year,I,false
156,Water use,Water withdrawal by sector,Agricultural water withdrawal,China,2021,364.43,10^9 m3/year,A,false
156,Water use,Water withdrawal by sector,Agricultural water withdrawal,China,2022,378.31,10^9 m3/year,A,false
156,Water use,Water withdrawal by sector,Agricultural water withdrawal,China,2023,378.31,10^9 m3/year,I,false
170,Water use,Water withdrawal by sector,Agricultural water withdrawal,Colombia,2021,19.89116,10^9 m3/year,A,false
170,Water use,Water withdrawal by sector,Agricultural water withdrawal,Colombia,2022,20.45657,10^9 m3/year,A,false
170,Water use,Water withdrawal by sector,Agricultural water withdrawal,Colombia,2023,20.88263,10^9 m3/year,A,false
174,Water use,Water withdrawal by sector,Agricultural water withdrawal,Comoros,2021,0.0047,10^9 m3/year,I,false
174,Water use,Water withdrawal by sector,Agricultural water withdrawal,Comoros,2022,0.0047,10^9 m3/year,I,false
174,Water use,Water withdrawal by sector,Agricultural water withdrawal,Comoros,2023,0.0047,10^9 m3/year,I,false
178,Water use,Water withdrawal by sector,Agricultural water withdrawal,Congo,2021,0.004,10^9 m3/year,I,false
178,Water use,Water withdrawal by sector,Agricultural water withdrawal,Congo,2022,0.004,10^9 m3/year,I,false
178,Water use,Water withdrawal by sector,Agricultural water withdrawal,Congo,2023,0.004,10^9 m3/year,I,false
188,Water use,Water withdrawal by sector,Agricultural water withdrawal,Costa Rica,2021,2.092895183,10^9 m3/year,A,false
188,Water use,Water withdrawal by sector,Agricultural water withdrawal,Costa Rica,2022,2.092895183,10^9 m3/year,I,false
188,Water use,Water withdrawal by sector,Agricultural water withdrawal,Costa Rica,2023,2.092895183,10^9 m3/year,I,false
191,Water use,Water withdrawal by sector,Agricultural water withdrawal,Croatia,2021,0.076,10^9 m3/year,A,false
191,Water use,Water withdrawal by sector,Agricultural water withdrawal,Croatia,2022,0.076,10^9 m3/year,A,false
191,Water use,Water withdrawal by sector,Agricultural water withdrawal,Croatia,2023,0.076,10^9 m3/year,A,false
192,Water use,Water withdrawal by sector,Agricultural water withdrawal,Cuba,2021,4.519,10^9 m3/year,I,false
192,Water use,Water withdrawal by sector,Agricultural water withdrawal,Cuba,2022,4.519,10^9 m3/year,I,false
192,Water use,Water withdrawal by sector,Agricultural water withdrawal,Cuba,2023,4.519,10^9 m3/year,I,false
196,Water use,Water withdrawal by sector,Agricultural water withdrawal,Cyprus,2021,0.18,10^9 m3/year,A,false
196,Water use,Water withdrawal by sector,Agricultural water withdrawal,Cyprus,2022,0.177,10^9 m3/year,A,false
196,Water use,Water withdrawal by sector,Agricultural water withdrawal,Cyprus,2023,0.181,10^9 m3/year,A,false
203,Water use,Water withdrawal by sector,Agricultural water withdrawal,Czechia,2021,0.037,10^9 m3/year,A,false
203,Water use,Water withdrawal by sector,Agricultural water withdrawal,Czechia,2022,0.044,10^9 m3/year,A,false
203,Water use,Water withdrawal by sector,Agricultural water withdrawal,Czechia,2023,0.044,10^9 m3/year,A,false
384,Water use,Water withdrawal by sector,Agricultural water withdrawal,Côte d'Ivoire,2021,0.6,10^9 m3/year,I,false
384,Water use,Water withdrawal by sector,Agricultural water withdrawal,Côte d'Ivoire,2022,0.6,10^9 m3/year,I,false
384,Water use,Water withdrawal by sector,Agricultural water withdrawal,Côte d'Ivoire,2023,0.6,10^9 m3/year,I,false
408,Water use,Water withdrawal by sector,Agricultural water withdrawal,Democratic People's Republic of Korea,2021,6.61,10^9 m3/year,I,false
408,Water use,Water withdrawal by sector,Agricultural water withdrawal,Democratic People's Republic of Korea,2022,6.61,10^9 m3/year,I,false
408,Water use,Water withdrawal by sector,Agricultural water withdrawal,Democratic People's Republic of Korea,2023,6.61,10^9 m3/year,I,false
180,Water use,Water withdrawal by sector,Agricultural water withdrawal,Democratic Republic of the Congo,2021,0.0719,10^9 m3/year,I,false
180,Water use,Water withdrawal by sector,Agricultural water withdrawal,Democratic Republic of the Congo,2022,0.0719,10^9 m3/year,I,false
180,Water use,Water withdrawal by sector,Agricultural water withdrawal,Democratic Republic of the Congo,2023,0.0719,10^9 m3/year,I,false
208,Water use,Water withdrawal by sector,Agricultural water withdrawal,Denmark,2021,0.517038,10^9 m3/year,A,false
208,Water use,Water withdrawal by sector,Agricultural water withdrawal,Denmark,2022,0.521013,10^9 m3/year,A,false
208,Water use,Water withdrawal by sector,Agricultural water withdrawal,Denmark,2023,0.551462,10^9 m3/year,A,false
262,Water use,Water withdrawal by sector,Agricultural water withdrawal,Djibouti,2021,0.003,10^9 m3/year,I,false
262,Water use,Water withdrawal by sector,Agricultural water withdrawal,Djibouti,2022,0.003,10^9 m3/year,I,false
262,Water use,Water withdrawal by sector,Agricultural water withdrawal,Djibouti,2023,0.003,10^9 m3/year,I,false
212,Water use,Water withdrawal by sector,Agricultural water withdrawal,Dominica,2021,0.001,10^9 m3/year,I,false
212,Water use,Water withdrawal by sector,Agricultural water withdrawal,Dominica,2022,0.001,10^9 m3/year,I,false
212,Water use,Water withdrawal by sector,Agricultural water withdrawal,Dominica,2023,0.001,10^9 m3/year,I,false
214,Water use,Water withdrawal by sector,Agricultural water withdrawal,Dominican Republic,2021,7.563,10^9 m3/year,I,false
214,Water use,Water withdrawal by sector,Agricultural water withdrawal,Dominican Republic,2022,7.563,10^9 m3/year,I,false
214,Water use,Water withdrawal by sector,Agricultural water withdrawal,Dominican Republic,2023,7.563,10^9 m3/year,I,false
30,Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2021,440.2509,10^9 m3/year,E,true
30,Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2022,453.9309,10^9 m3/year,E,true
30,Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2023,453.9309,10^9 m3/year,E,true
753,Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2021,867.872974904,10^9 m3/year,E,true
753,Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2022,881.629383237,10^9 m3/year,E,true
753,Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2023,881.657239747,10^9 m3/year,E,true
218,Water use,Water withdrawal by sector,Agricultural water withdrawal,Ecuador,2021,8.076,10^9 m3/year,I,false
218,Water use,Water withdrawal by sector,Agricultural water withdrawal,Ecuador,2022,8.076,10^9 m3/year,I,false
218,Water use,Water withdrawal by sector,Agricultural water withdrawal,Ecuador,2023,8.076,10^9 m3/year,I,false
818,Water use,Water withdrawal by sector,Agricultural water withdrawal,Egypt,2021,61.35,10^9 m3/year,I,false
818,Water use,Water withdrawal by sector,Agricultural water withdrawal,Egypt,2022,61.35,10^9 m3/year,I,false
818,Water use,Water withdrawal by sector,Agricultural water withdrawal,Egypt,2023,61.35,10^9 m3/year,I,false
222,Water use,Water withdrawal by sector,Agricultural water withdrawal,El Salvador,2021,0.518524,10^9 m3/year,A,false
222,Water use,Water withdrawal by sector,Agricultural water withdrawal,El Salvador,2022,1.41098,10^9 m3/year,A,false
222,Water use,Water withdrawal by sector,Agricultural water withdrawal,El Salvador,2023,1.41055,10^9 m3/year,A,false
226,Water use,Water withdrawal by sector,Agricultural water withdrawal,Equatorial Guinea,2021,0.001,10^9 m3/year,I,false
226,Water use,Water withdrawal by sector,Agricultural water withdrawal,Equatorial Guinea,2022,0.001,10^9 m3/year,I,false
226,Water use,Water withdrawal by sector,Agricultural water withdrawal,Equatorial Guinea,2023,0.001,10^9 m3/year,I,false
232,Water use,Water withdrawal by sector,Agricultural water withdrawal,Eritrea,2021,0.55,10^9 m3/year,I,false
232,Water use,Water withdrawal by sector,Agricultural water withdrawal,Eritrea,2022,0.55,10^9 m3/year,I,false
232,Water use,Water withdrawal by sector,Agricultural water withdrawal,Eritrea,2023,0.55,10^9 m3/year,I,false
233,Water use,Water withdrawal by sector,Agricultural water withdrawal,Estonia,2021,0.004971369,10^9 m3/year,A,false
233,Water use,Water withdrawal by sector,Agricultural water withdrawal,Estonia,2022,0.005000118,10^9 m3/year,A,false
233,Water use,Water withdrawal by sector,Agricultural water withdrawal,Estonia,2023,0.005089657,10^9 m3/year,A,false
748,Water use,Water withdrawal by sector,Agricultural water withdrawal,Eswatini,2021,1.006,10^9 m3/year,I,false
748,Water use,Water withdrawal by sector,Agricultural water withdrawal,Eswatini,2022,1.006,10^9 m3/year,I,false
748,Water use,Water withdrawal by sector,Agricultural water withdrawal,Eswatini,2023,1.006,10^9 m3/year,I,false
231,Water use,Water withdrawal by sector,Agricultural water withdrawal,Ethiopia,2021,9.687,10^9 m3/year,I,false
231,Water use,Water withdrawal by sector,Agricultural water withdrawal,Ethiopia,2022,9.687,10^9 m3/year,I,false
231,Water use,Water withdrawal by sector,Agricultural water withdrawal,Ethiopia,2023,9.687,10^9 m3/year,I,false
150,Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2021,83.013550927,10^9 m3/year,E,true
150,Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2022,82.460377239,10^9 m3/year,E,true
150,Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2023,82.192080575,10^9 m3/year,E,true
513,Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2021,263.072550927,10^9 m3/year,E,true
513,Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2022,262.519377239,10^9 m3/year,E,true
513,Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2023,262.251080575,10^9 m3/year,E,true
242,Water use,Water withdrawal by sector,Agricultural water withdrawal,Fiji,2021,0.05,10^9 m3/year,I,false
242,Water use,Water withdrawal by sector,Agricultural water withdrawal,Fiji,2022,0.05,10^9 m3/year,I,false
242,Water use,Water withdrawal by sector,Agricultural water withdrawal,Fiji,2023,0.05,10^9 m3/year,I,false
246,Water use,Water withdrawal by sector,Agricultural water withdrawal,Finland,2021,1,10^9 m3/year,I,false
246,Water use,Water withdrawal by sector,Agricultural water withdrawal,Finland,2022,1,10^9 m3/year,I,false
246,Water use,Water withdrawal by sector,Agricultural water withdrawal,Finland,2023,1,10^9 m3/year,I,false
250,Water use,Water withdrawal by sector,Agricultural water withdrawal,France,2021,2.600379,10^9 m3/year,A,false
250,Water use,Water withdrawal by sector,Agricultural water withdrawal,France,2022,3.553932,10^9 m3/year,A,false
250,Water use,Water withdrawal by sector,Agricultural water withdrawal,France,2023,2.923788,10^9 m3/year,A,false
266,Water use,Water withdrawal by sector,Agricultural water withdrawal,Gabon,2021,0.0403,10^9 m3/year,I,false
266,Water use,Water withdrawal by sector,Agricultural water withdrawal,Gabon,2022,0.0403,10^9 m3/year,I,false
266,Water use,Water withdrawal by sector,Agricultural water withdrawal,Gabon,2023,0.0403,10^9 m3/year,I,false
270,Water use,Water withdrawal by sector,Agricultural water withdrawal,Gambia,2021,0.0392,10^9 m3/year,I,false
270,Water use,Water withdrawal by sector,Agricultural water withdrawal,Gambia,2022,0.0392,10^9 m3/year,I,false
270,Water use,Water withdrawal by sector,Agricultural water withdrawal,Gambia,2023,0.0392,10^9 m3/year,I,false
268,Water use,Water withdrawal by sector,Agricultural water withdrawal,Georgia,2021,0.74988,10^9 m3/year,A,false
268,Water use,Water withdrawal by sector,Agricultural water withdrawal,Georgia,2022,0.43396,10^9 m3/year,A,false
268,Water use,Water withdrawal by sector,Agricultural water withdrawal,Georgia,2023,0.43396,10^9 m3/year,I,false
276,Water use,Water withdrawal by sector,Agricultural water withdrawal,Germany,2021,0.801231,10^9 m3/year,A,false
276,Water use,Water withdrawal by sector,Agricultural water withdrawal,Germany,2022,1.059629,10^9 m3/year,A,false
276,Water use,Water withdrawal by sector,Agricultural water withdrawal,Germany,2023,1.059629,10^9 m3/year,I,false
288,Water use,Water withdrawal by sector,Agricultural water withdrawal,Ghana,2021,1.07,10^9 m3/year,I,false
288,Water use,Water withdrawal by sector,Agricultural water withdrawal,Ghana,2022,1.07,10^9 m3/year,I,false
288,Water use,Water withdrawal by sector,Agricultural water withdrawal,Ghana,2023,1.07,10^9 m3/year,I,false
300,Water use,Water withdrawal by sector,Agricultural water withdrawal,Greece,2021,8.107,10^9 m3/year,A,false
300,Water use,Water withdrawal by sector,Agricultural water withdrawal,Greece,2022,7.140838222,10^9 m3/year,A,false
300,Water use,Water withdrawal by sector,Agricultural water withdrawal,Greece,2023,7.140838222,10^9 m3/year,A,false
308,Water use,Water withdrawal by sector,Agricultural water withdrawal,Grenada,2021,0.0021,10^9 m3/year,I,false
308,Water use,Water withdrawal by sector,Agricultural water withdrawal,Grenada,2022,0.0021,10^9 m3/year,I,false
308,Water use,Water withdrawal by sector,Agricultural water withdrawal,Grenada,2023,0.0021,10^9 m3/year,I,false
320,Water use,Water withdrawal by sector,Agricultural water withdrawal,Guatemala,2021,1.886,10^9 m3/year,I,false
320,Water use,Water withdrawal by sector,Agricultural water withdrawal,Guatemala,2022,1.886,10^9 m3/year,I,false
320,Water use,Water withdrawal by sector,Agricultural water withdrawal,Guatemala,2023,1.886,10^9 m3/year,I,false
324,Water use,Water withdrawal by sector,Agricultural water withdrawal,Guinea,2021,0.6,10^9 m3/year,I,false
324,Water use,Water withdrawal by sector,Agricultural water withdrawal,Guinea,2022,0.6,10^9 m3/year,I,false
324,Water use,Water withdrawal by sector,Agricultural water withdrawal,Guinea,2023,0.6,10^9 m3/year,I,false
624,Water use,Water withdrawal by sector,Agricultural water withdrawal,Guinea-Bissau,2021,0.144,10^9 m3/year,I,false
624,Water use,Water withdrawal by sector,Agricultural water withdrawal,Guinea-Bissau,2022,0.144,10^9 m3/year,I,false
624,Water use,Water withdrawal by sector,Agricultural water withdrawal,Guinea-Bissau,2023,0.144,10^9 m3/year,I,false
328,Water use,Water withdrawal by sector,Agricultural water withdrawal,Guyana,2021,1.363,10^9 m3/year,I,false
328,Water use,Water withdrawal by sector,Agricultural water withdrawal,Guyana,2022,1.363,10^9 m3/year,I,false
328,Water use,Water withdrawal by sector,Agricultural water withdrawal,Guyana,2023,1.363,10^9 m3/year,I,false
332,Water use,Water withdrawal by sector,Agricultural water withdrawal,Haiti,2021,1.209,10^9 m3/year,I,false
332,Water use,Water withdrawal by sector,Agricultural water withdrawal,Haiti,2022,1.209,10^9 m3/year,I,false
332,Water use,Water withdrawal by sector,Agricultural water withdrawal,Haiti,2023,1.209,10^9 m3/year,I,false
340,Water use,Water withdrawal by sector,Agricultural water withdrawal,Honduras,2021,1.178,10^9 m3/year,I,false
340,Water use,Water withdrawal by sector,Agricultural water withdrawal,Honduras,2022,1.178,10^9 m3/year,I,false
340,Water use,Water withdrawal by sector,Agricultural water withdrawal,Honduras,2023,1.178,10^9 m3/year,I,false
348,Water use,Water withdrawal by sector,Agricultural water withdrawal,Hungary,2021,0.517226,10^9 m3/year,A,false
348,Water use,Water withdrawal by sector,Agricultural water withdrawal,Hungary,2022,0.548613,10^9 m3/year,A,false
348,Water use,Water withdrawal by sector,Agricultural water withdrawal,Hungary,2023,0.546,10^9 m3/year,A,false
352,Water use,Water withdrawal by sector,Agricultural water withdrawal,Iceland,2021,0.0003,10^9 m3/year,I,false
352,Water use,Water withdrawal by sector,Agricultural water withdrawal,Iceland,2022,0.0003,10^9 m3/year,I,false
352,Water use,Water withdrawal by sector,Agricultural water withdrawal,Iceland,2023,0.0003,10^9 m3/year,I,false
356,Water use,Water withdrawal by sector,Agricultural water withdrawal,India,2021,688,10^9 m3/year,I,false
356,Water use,Water withdrawal by sector,Agricultural water withdrawal,India,2022,688,10^9 m3/year,I,false
356,Water use,Water withdrawal by sector,Agricultural water withdrawal,India,2023,688,10^9 m3/year,I,false
360,Water use,Water withdrawal by sector,Agricultural water withdrawal,Indonesia,2021,189.7,10^9 m3/year,I,false
360,Water use,Water withdrawal by sector,Agricultural water withdrawal,Indonesia,2022,189.7,10^9 m3/year,I,false
360,Water use,Water withdrawal by sector,Agricultural water withdrawal,Indonesia,2023,189.7,10^9 m3/year,I,false
364,Water use,Water withdrawal by sector,Agricultural water withdrawal,Iran (Islamic Republic of),2021,86,10^9 m3/year,I,false
364,Water use,Water withdrawal by sector,Agricultural water withdrawal,Iran (Islamic Republic of),2022,86,10^9 m3/year,I,false
364,Water use,Water withdrawal by sector,Agricultural water withdrawal,Iran (Islamic Republic of),2023,86,10^9 m3/year,I,false
368,Water use,Water withdrawal by sector,Agricultural water withdrawal,Iraq,2021,44.882,10^9 m3/year,A,false
368,Water use,Water withdrawal by sector,Agricultural water withdrawal,Iraq,2022,37.195,10^9 m3/year,A,false
368,Water use,Water withdrawal by sector,Agricultural water withdrawal,Iraq,2023,37.195,10^9 m3/year,I,false
372,Water use,Water withdrawal by sector,Agricultural water withdrawal,Ireland,2021,0.04,10^9 m3/year,A,false
372,Water use,Water withdrawal by sector,Agricultural water withdrawal,Ireland,2022,0.03963,10^9 m3/year,X,false
372,Water use,Water withdrawal by sector,Agricultural water withdrawal,Ireland,2023,0.046381076,10^9 m3/year,I,false
376,Water use,Water withdrawal by sector,Agricultural water withdrawal,Israel,2021,1.286,10^9 m3/year,A,false
376,Water use,Water withdrawal by sector,Agricultural water withdrawal,Israel,2022,1.2146,10^9 m3/year,A,false
376,Water use,Water withdrawal by sector,Agricultural water withdrawal,Israel,2023,1.262,10^9 m3/year,A,false
380,Water use,Water withdrawal by sector,Agricultural water withdrawal,Italy,2021,17,10^9 m3/year,I,false
380,Water use,Water withdrawal by sector,Agricultural water withdrawal,Italy,2022,17,10^9 m3/year,I,false
380,Water use,Water withdrawal by sector,Agricultural water withdrawal,Italy,2023,17,10^9 m3/year,I,false
388,Water use,Water withdrawal by sector,Agricultural water withdrawal,Jamaica,2021,0.078971645,10^9 m3/year,A,false
388,Water use,Water withdrawal by sector,Agricultural water withdrawal,Jamaica,2022,0.078971645,10^9 m3/year,I,false
388,Water use,Water withdrawal by sector,Agricultural water withdrawal,Jamaica,2023,0.078971645,10^9 m3/year,I,false
392,Water use,Water withdrawal by sector,Agricultural water withdrawal,Japan,2021,53,10^9 m3/year,A,false
392,Water use,Water withdrawal by sector,Agricultural water withdrawal,Japan,2022,52.8,10^9 m3/year,A,false
392,Water use,Water withdrawal by sector,Agricultural water withdrawal,Japan,2023,52.8,10^9 m3/year,I,false
400,Water use,Water withdrawal by sector,Agricultural water withdrawal,Jordan,2021,0.57061,10^9 m3/year,I,false
400,Water use,Water withdrawal by sector,Agricultural water withdrawal,Jordan,2022,0.57061,10^9 m3/year,I,false
400,Water use,Water withdrawal by sector,Agricultural water withdrawal,Jordan,2023,0.57061,10^9 m3/year,I,false
398,Water use,Water withdrawal by sector,Agricultural water withdrawal,Kazakhstan,2021,14.706,10^9 m3/year,A,false
398,Water use,Water withdrawal by sector,Agricultural water withdrawal,Kazakhstan,2022,14.264,10^9 m3/year,A,false
398,Water use,Water withdrawal by sector,Agricultural water withdrawal,Kazakhstan,2023,14.031,10^9 m3/year,A,false
404,Water use,Water withdrawal by sector,Agricultural water withdrawal,Kenya,2021,3.309603,10^9 m3/year,A,false
404,Water use,Water withdrawal by sector,Agricultural water withdrawal,Kenya,2022,4.00982,10^9 m3/year,A,false
404,Water use,Water withdrawal by sector,Agricultural water withdrawal,Kenya,2023,4.308221,10^9 m3/year,A,false
414,Water use,Water withdrawal by sector,Agricultural water withdrawal,Kuwait,2021,0.7784,10^9 m3/year,I,false
414,Water use,Water withdrawal by sector,Agricultural water withdrawal,Kuwait,2022,0.7784,10^9 m3/year,I,false
414,Water use,Water withdrawal by sector,Agricultural water withdrawal,Kuwait,2023,0.7784,10^9 m3/year,I,false
417,Water use,Water withdrawal by sector,Agricultural water withdrawal,Kyrgyzstan,2021,7.1,10^9 m3/year,I,false
417,Water use,Water withdrawal by sector,Agricultural water withdrawal,Kyrgyzstan,2022,7.1,10^9 m3/year,I,false
417,Water use,Water withdrawal by sector,Agricultural water withdrawal,Kyrgyzstan,2023,7.1,10^9 m3/year,I,false
432,Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2021,169.587955895,10^9 m3/year,E,true
432,Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2022,170.619917295,10^9 m3/year,E,true
432,Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2023,170.464156395,10^9 m3/year,E,true
418,Water use,Water withdrawal by sector,Agricultural water withdrawal,Lao People's Democratic Republic,2021,7.05,10^9 m3/year,I,false
418,Water use,Water withdrawal by sector,Agricultural water withdrawal,Lao People's Democratic Republic,2022,7.05,10^9 m3/year,I,false
418,Water use,Water withdrawal by sector,Agricultural water withdrawal,Lao People's Democratic Republic,2023,7.05,10^9 m3/year,I,false
419,Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2021,262.465796428,10^9 m3/year,E,true
419,Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2022,265.380771428,10^9 m3/year,E,true
419,Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2023,263.382081328,10^9 m3/year,E,true
428,Water use,Water withdrawal by sector,Agricultural water withdrawal,Latvia,2021,0.053007116,10^9 m3/year,A,false
428,Water use,Water withdrawal by sector,Agricultural water withdrawal,Latvia,2022,0.05009783,10^9 m3/year,A,false
428,Water use,Water withdrawal by sector,Agricultural water withdrawal,Latvia,2023,0.054816416,10^9 m3/year,A,false
199,Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2021,207.3579892,10^9 m3/year,E,true
199,Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2022,207.8462892,10^9 m3/year,E,true
199,Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2023,199.4011892,10^9 m3/year,E,true
422,Water use,Water withdrawal by sector,Agricultural water withdrawal,Lebanon,2021,0.7,10^9 m3/year,I,false
422,Water use,Water withdrawal by sector,Agricultural water withdrawal,Lebanon,2022,0.7,10^9 m3/year,I,false
422,Water use,Water withdrawal by sector,Agricultural water withdrawal,Lebanon,2023,0.7,10^9 m3/year,I,false
426,Water use,Water withdrawal by sector,Agricultural water withdrawal,Lesotho,2021,0.0038,10^9 m3/year,I,false
426,Water use,Water withdrawal by sector,Agricultural water withdrawal,Lesotho,2022,0.0038,10^9 m3/year,I,false
426,Water use,Water withdrawal by sector,Agricultural water withdrawal,Lesotho,2023,0.0038,10^9 m3/year,I,false
430,Water use,Water withdrawal by sector,Agricultural water withdrawal,Liberia,2021,0.0123,10^9 m3/year,I,false
430,Water use,Water withdrawal by sector,Agricultural water withdrawal,Liberia,2022,0.0123,10^9 m3/year,I,false
430,Water use,Water withdrawal by sector,Agricultural water withdrawal,Liberia,2023,0.0123,10^9 m3/year,I,false
434,Water use,Water withdrawal by sector,Agricultural water withdrawal,Libya,2021,4.85,10^9 m3/year,I,false
434,Water use,Water withdrawal by sector,Agricultural water withdrawal,Libya,2022,4.85,10^9 m3/year,I,false
434,Water use,Water withdrawal by sector,Agricultural water withdrawal,Libya,2023,4.85,10^9 m3/year,I,false
440,Water use,Water withdrawal by sector,Agricultural water withdrawal,Lithuania,2021,0.05916,10^9 m3/year,X,false
440,Water use,Water withdrawal by sector,Agricultural water withdrawal,Lithuania,2022,0.05874,10^9 m3/year,X,false
440,Water use,Water withdrawal by sector,Agricultural water withdrawal,Lithuania,2023,0.05874,10^9 m3/year,I,false
442,Water use,Water withdrawal by sector,Agricultural water withdrawal,Luxembourg,2021,0.00039,10^9 m3/year,X,false
442,Water use,Water withdrawal by sector,Agricultural water withdrawal,Luxembourg,2022,0.00049,10^9 m3/year,X,false
442,Water use,Water withdrawal by sector,Agricultural water withdrawal,Luxembourg,2023,0.00049,10^9 m3/year,I,false
450,Water use,Water withdrawal by sector,Agricultural water withdrawal,Madagascar,2021,37.64,10^9 m3/year,A,false
450,Water use,Water withdrawal by sector,Agricultural water withdrawal,Madagascar,2022,38.06,10^9 m3/year,A,false
450,Water use,Water withdrawal by sector,Agricultural water withdrawal,Madagascar,2023,29.54,10^9 m3/year,A,false
454,Water use,Water withdrawal by sector,Agricultural water withdrawal,Malawi,2021,1.166,10^9 m3/year,I,false
454,Water use,Water withdrawal by sector,Agricultural water withdrawal,Malawi,2022,1.166,10^9 m3/year,I,false
454,Water use,Water withdrawal by sector,Agricultural water withdrawal,Malawi,2023,1.166,10^9 m3/year,I,false
458,Water use,Water withdrawal by sector,Agricultural water withdrawal,Malaysia,2021,2.505,10^9 m3/year,I,false
458,Water use,Water withdrawal by sector,Agricultural water withdrawal,Malaysia,2022,2.505,10^9 m3/year,I,false
458,Water use,Water withdrawal by sector,Agricultural water withdrawal,Malaysia,2023,2.505,10^9 m3/year,I,false
462,Water use,Water withdrawal by sector,Agricultural water withdrawal,Maldives,2021,0.000268194,10^9 m3/year,A,false
462,Water use,Water withdrawal by sector,Agricultural water withdrawal,Maldives,2022,0.000268194,10^9 m3/year,I,false
462,Water use,Water withdrawal by sector,Agricultural water withdrawal,Maldives,2023,0.000268194,10^9 m3/year,I,false
466,Water use,Water withdrawal by sector,Agricultural water withdrawal,Mali,2021,5.075,10^9 m3/year,I,false
466,Water use,Water withdrawal by sector,Agricultural water withdrawal,Mali,2022,5.075,10^9 m3/year,I,false
466,Water use,Water withdrawal by sector,Agricultural water withdrawal,Mali,2023,5.075,10^9 m3/year,I,false
470,Water use,Water withdrawal by sector,Agricultural water withdrawal,Malta,2021,0.022631342,10^9 m3/year,A,false
470,Water use,Water withdrawal by sector,Agricultural water withdrawal,Malta,2022,0.021327019,10^9 m3/year,A,false
470,Water use,Water withdrawal by sector,Agricultural water withdrawal,Malta,2023,0.021245154,10^9 m3/year,A,false
478,Water use,Water withdrawal by sector,Agricultural water withdrawal,Mauritania,2021,1.223,10^9 m3/year,I,false
478,Water use,Water withdrawal by sector,Agricultural water withdrawal,Mauritania,2022,1.223,10^9 m3/year,I,false
478,Water use,Water withdrawal by sector,Agricultural water withdrawal,Mauritania,2023,1.223,10^9 m3/year,I,false
480,Water use,Water withdrawal by sector,Agricultural water withdrawal,Mauritius,2021,0.301,10^9 m3/year,A,false
480,Water use,Water withdrawal by sector,Agricultural water withdrawal,Mauritius,2022,0.303,10^9 m3/year,A,false
480,Water use,Water withdrawal by sector,Agricultural water withdrawal,Mauritius,2023,0.296,10^9 m3/year,A,false
484,Water use,Water withdrawal by sector,Agricultural water withdrawal,Mexico,2021,68.07,10^9 m3/year,A,false
